Slice	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
7.128824914543399e+00	1.731748418965391e-01	5.179407879023939e+00	-2.830325296688939e-10	4.602273584006108e-11	5.241637760884791e-01	6.930183191588294e-01	7.746895943234343e-01	-5.157614921450864e-04	-1.667339808106385e-04	2.700388470627545e-04	9.620824549807473e+01
7.879227537126914e+00	2.092424808608107e-01	5.644782406684228e+00	-2.342477995080376e-10	3.808963333958228e-11	6.832118874512180e-01	9.802686490479057e-01	1.090113004570259e+00	-6.254196991089051e-04	-2.016231618043703e-04	3.265529807268744e-04	1.162458227004477e+02
8.629630159710430e+00	2.467381284460690e-01	6.098375858770311e+00	-1.986522688207409e-10	3.230130232194749e-11	8.553672963526248e-01	1.338500291592879e+00	1.479424136126551e+00	-7.377994159840100e-04	-2.375920909546095e-04	3.852423281671599e-04	1.370767380255912e+02
9.380032782293945e+00	2.850839707869445e-01	6.539782293018040e+00	-3.494995998184797e-09	2.070583531003530e-09	1.035537986315036e+00	1.774130709798580e+00	1.947783675029742e+00	-8.543672543421435e-04	-2.751458949358188e-04	4.455498140111741e-04	1.583799837705221e+02
1.013043540487746e+01	3.234298129038947e-01	6.965490164805933e+00	-4.041551640509891e-09	2.404321059471350e-09	1.215708591402830e+00	2.288120523819096e+00	2.494502632989794e+00	-9.708888509081210e-04	-3.126786426824934e-04	5.058932637553335e-04	1.796832293910501e+02
1.088083802746098e+01	3.617756552447702e-01	7.380491311716817e+00	-6.231791768005960e-09	3.759095734003701e-09	1.395879195584762e+00	2.891872436474109e+00	3.130983576116032e+00	-1.087436546323182e-03	-3.501677494083949e-04	5.661442347277881e-04	2.009864751359810e+02
1.163124065004449e+01	4.001214975856457e-01	7.787863984621404e+00	-8.002226380830876e-09	4.854199400854745e-09	1.576049863498151e+00	3.596556572941089e+00	3.868396820692753e+00	-1.204002564704302e-03	-3.877172698109406e-04	6.264701904645646e-04	2.222897208809120e+02
1.238164327262801e+01	4.384673398334084e-01	8.189609610568949e+00	-8.860399191826823e-09	5.379630833372360e-09	1.756220542155984e+00	4.413212272124703e+00	4.717781802324878e+00	-1.320566015782876e-03	-4.252688138060397e-04	6.867718295356845e-04	2.435929665741135e+02
1.313204589521152e+01	4.768131821742839e-01	8.587085791253495e+00	-1.013467767034613e-08	6.168270386700951e-09	1.936391061240966e+00	5.352800927089509e+00	5.690099415187234e+00	-1.437135009923358e-03	-4.627592605048095e-04	7.470338589438823e-04	2.648962123190445e+02
1.388244851779504e+01	5.151590245151594e-01	8.981245913830730e+00	-1.121925440726393e-08	6.839505230556062e-09	2.116561726437833e+00	6.426234590816253e+00	6.796262178849676e+00	-1.553700378217918e-03	-5.003086164478799e-04	8.073609743725071e-04	2.861994580639754e+02
